common_term,notes,legal_term1,legal_term2,...
divorce,,dissolution,relationship property,
custody,https://www.justice.govt.nz/family/care-of-children/,day to day care,parenting,
driveway,,easement,right of way,
trust,,family trust,constructive trust,
domestic violence,"In 2019, the Domestic Violence Act 1995 was replaced by the Family Violence Act 2018. Most references in case law after 1 July 2019 will be to the Family Violence Act.",family violence,,
family violence,"In 2019, the Domestic Violence Act 1995 was replaced by the Family Violence Act 2018. Most references in case law before 1 July 2019 will be to the Domestic Violence Act 1995.",domestic violence,,
Assault,,indecent assault,trespass to the person,
Carelessness,,negligence,standard of care,
Causation,,breach of statutory duty,burden of proof,
Damages,,general damages,exemplary damages,
Privilege,,absolute privilege,qualified privilege,
insanity,See Alison Douglass mental capacity toolkit: http://www.alisondouglass.co.nz/,mentally disordered person,mental capacity,
Breaking contract,,interference with contract,breach of contract,
Conspiracy,,conspiracy to defraud,conspiring to commit offence,
